squareMeters,rooms,latitude,longitude,centreDistance,poiCount,price,date,hasParkingSpace_no,hasParkingSpace_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasSecurity_no,hasSecurity_yes,hasStorageRoom_no,hasStorageRoom_yes
47.0,2.0,52.2579122,20.96861008,3.76,33.0,5000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
27.0,1.0,52.2498,21.0352,2.95,33.0,2950,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
51.0,2.0,52.2228638,21.0099592,1.08,85.0,3700,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,3.0,52.2249479234503,21.012136037722,0.95,124.0,5000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
39.8,2.0,52.2165128,21.0414737,3.09,6.0,4500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
43.69,2.0,52.2415003881823,20.8963523112499,7.38,14.0,3500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
59.0,2.0,52.22860125,20.97377774,2.06,25.0,4600,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
42.0,2.0,52.1998656,20.88041552,9.11,8.0,3000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
110.0,4.0,52.2402358,20.9997737,0.98,58.0,7500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.13447,21.06403,11.57,42.0,3600,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
38.0,2.0,52.1895174832913,20.8994995065824,8.5,23.0,2600,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
38.0,2.0,52.2367764,21.0062976,0.59,49.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
49.87,2.0,52.18759504,21.01513896,4.97,13.0,3950,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
38.0,2.0,52.1941056,20.9635795,4.99,14.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
52.0,2.0,52.20214985,21.03035039,3.76,22.0,4490,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
38.0,2.0,52.2323896594228,21.0018415734905,0.14,65.0,3500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
38.0,2.0,52.226225807145,21.0658151832566,4.28,24.0,3450,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
57.0,3.0,52.20881,20.9652,3.65,15.0,6500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
26.0,1.0,52.2502,21.0336,2.9,33.0,2650,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
44.0,2.0,52.2249479234503,21.012136037722,0.95,124.0,3900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
62.0,3.0,52.22704275,20.95560406,3.31,13.0,5500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
44.19,3.0,52.23218896,20.99769596,0.4,75.0,3300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.45,2.0,52.2435451,20.99959928,1.34,47.0,3490,November 2023,0,1,1,0,1,0,1,0,1,0,0,1
89.0,4.0,52.199309,20.9086874,7.4,5.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
68.0,3.0,52.2529138,21.03393815,3.14,41.0,5500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
68.0,3.0,52.206864,20.954589,4.33,7.0,4500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
52.66,2.0,52.33034005,20.9423439,11.73,25.0,2800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
57.0,2.0,52.2056642,20.9330342,5.61,10.0,3500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
59.0,2.0,52.2502041,21.0378588,3.11,42.0,3200,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
38.0,2.0,52.2319863,20.9546035,3.33,11.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
65.0,3.0,52.2504221,21.0129623,2.18,77.0,4800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
50.0,2.0,52.33365686,20.93731315,12.2,16.0,3500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
85.0,3.0,52.220238,20.9824402,1.92,37.0,4800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,3.0,52.19315779,20.93815703,6.18,0.0,5500,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
50.0,3.0,52.19336824,20.93772787,6.19,0.0,5500,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
68.0,3.0,52.2779654,20.9109397,8.14,4.0,4500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
36.0,2.0,52.24611718,21.00219933,1.6,28.0,4500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
41.0,2.0,52.2426018,21.0150499,1.44,44.0,4600,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
68.0,3.0,52.2111856,20.9738924,3.05,23.0,3900,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
59.0,3.0,52.2103359,20.9712206,3.24,31.0,5500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
59.0,3.0,52.19926983,20.94438287,5.41,1.0,5500,November 2023,0,1,1,0,1,0,1,0,1,0,0,1
50.0,2.0,52.22311777,21.01867508,1.4,98.0,5800,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
70.0,3.0,52.1448928,21.0259693,9.77,8.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
38.0,2.0,52.1941056,20.9635795,4.99,14.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
130.0,6.0,52.23055556,21.0125,0.62,102.0,9900,November 2023,0,1,1,0,1,0,1,0,0,1,0,1
41.0,2.0,52.238903452549,20.9935369744168,1.05,75.0,4250,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
72.0,3.0,52.2396635441901,20.8999335059339,7.11,25.0,3750,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
55.5,3.0,52.1636393205269,21.0762010725907,9.04,37.0,5000,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
110.0,5.0,52.150382158288,21.0196315762854,9.11,12.0,6000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
39.14,2.0,52.19388889,20.88611111,9.04,14.0,2700,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
44.0,2.0,52.2294750975734,20.9964435402091,0.54,66.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
103.0,4.0,52.2049152405887,21.018201420525,3.14,45.0,5200,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
68.0,3.0,52.2428011512224,20.9036968397137,6.91,16.0,4300,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
28.0,2.0,52.2070308768009,21.0059459758223,2.75,20.0,3381,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
75.0,3.0,52.2253406815164,21.0380647417258,2.45,22.0,8500,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
48.0,2.0,52.2289986273506,21.0089199253723,0.47,92.0,5500,November 2023,1,0,1,0,1,0,1,0,0,1,1,0
120.0,5.0,52.2005435465213,20.9666509833338,4.28,14.0,7900,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
42.0,2.0,52.2787328854863,20.9714963878004,5.67,14.0,3900,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
57.0,2.0,52.2429497988326,21.0867524381363,5.8,42.0,3500,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
56.0,2.0,52.1422367406549,21.0669546156476,10.85,16.0,4000,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
34.0,1.0,52.1425719,21.03569,10.15,13.0,2800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
55.0,3.0,52.2415003881823,20.8963523112499,7.38,14.0,4700,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
54.0,2.0,52.24941,21.03467,2.89,29.0,4700,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
75.0,3.0,52.20082,21.00562,3.44,26.0,7000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
37.0,2.0,52.26771,20.94785,5.51,17.0,2490,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
48.0,2.0,52.24314818,20.99925041,1.3,48.0,3400,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
112.0,4.0,52.24027,21.00008,0.98,56.0,7500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
54.0,3.0,52.2439,21.0858,5.76,58.0,4000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
77.13,3.0,52.2255354,21.0846241,5.56,19.0,4500,November 2023,0,1,1,0,1,0,1,0,1,0,0,1
114.0,4.0,52.19996984,21.03035728,3.97,24.0,6000,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
77.0,3.0,52.1763,21.0644,7.43,15.0,5450,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
26.0,1.0,52.179,20.9931,5.9,14.0,3000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
64.0,2.0,52.2252,20.9919,1.07,30.0,4800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
47.0,3.0,52.2010249,21.0273894,3.78,27.0,4100,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
71.0,3.0,52.19871849,20.97491778,4.16,14.0,5000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
25.0,1.0,52.24632739,21.00262849,1.63,30.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
33.0,1.0,52.25691222,21.03620319,3.58,45.0,3000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
