squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,type_numerical,city_numerical,price
52.0,2.0,3.0,3.0,53.4605350947556,14.5454160213269,4.26,2.0,1,1,0,0,0,0,0,3500
57.0,3.0,3.0,10.0,53.4409551785673,14.5660240062286,1.98,14.0,0,1,1,0,0,0,0,3000
43.4,2.0,3.0,4.0,53.4357458,14.560764,1.37,17.0,0,1,0,0,0,-1,0,1900
32.6,2.0,5.0,6.0,53.4215822,14.5415725,1.3,16.0,0,1,1,0,0,1,0,2500
72.0,3.0,6.0,6.0,53.45001,14.54723,3.1,11.0,0,1,1,0,1,1,0,2999
52.0,2.0,1.0,3.0,53.4274,14.4881,4.85,6.0,1,0,0,0,0,0,0,2300
45.94,2.0,4.0,10.0,53.43356737,14.53989132,1.8,61.0,0,1,1,0,0,0,0,2500
54.0,2.0,3.0,3.0,53.4126,14.5411,1.78,3.0,1,1,1,0,1,0,0,2600
32.0,1.0,2.0,4.0,53.4348359,14.5488644,1.5,51.0,0,0,1,0,0,2,0,1500
76.38,3.0,1.0,1.0,53.4354779,14.51203896,3.51,11.0,1,0,0,0,0,0,0,3600
35.0,2.0,2.0,4.0,53.42968095,14.59291267,2.23,0.0,0,1,0,0,0,-1,0,2100
60.0,2.0,2.0,2.0,53.4798,14.5409,6.41,2.0,1,1,0,0,0,0,0,2850
51.0,2.0,1.0,3.0,53.455611,14.46842,7.1,5.0,0,1,0,0,0,0,0,2500
40.0,2.0,5.0,7.0,53.404167,14.503333,4.38,5.0,1,0,1,0,0,1,0,3000
26.0,1.0,6.0,7.0,53.404167,14.503333,4.38,5.0,1,1,1,0,0,1,0,2000
42.0,2.0,1.0,4.0,53.4314073,14.541849,1.55,74.0,1,1,0,0,0,0,0,1800
60.0,3.0,4.0,4.0,53.3937316,14.4928161,5.59,2.0,0,0,1,0,0,1,0,3250
97.0,3.0,3.0,3.0,53.42968095,14.59291267,2.23,0.0,1,1,0,0,0,-1,0,4400
69.35,3.0,1.0,3.0,53.42968095,14.59291267,2.23,0.0,0,1,0,0,0,-1,0,5000
50.6,2.0,2.0,2.0,53.444,14.4984,4.74,5.0,1,0,0,0,1,2,0,2250
60.85,3.0,10.0,27.0,53.4368668,14.5530096,1.59,35.0,0,0,1,0,0,1,0,4500
70.0,3.0,3.0,2.0,53.4131755,14.4978306,4.34,6.0,0,0,0,0,0,-1,0,3000
58.39,3.0,1.0,4.0,53.42982799,14.56251606,0.72,29.0,0,1,0,0,0,2,0,3400
36.0,2.0,5.0,7.0,53.4215,14.542,1.27,16.0,1,1,1,1,0,1,0,2400
30.5,1.0,4.0,26.0,53.4291943,14.5532619,0.82,68.0,0,1,1,0,0,1,0,2600
49.36,2.0,2.0,2.0,53.474167,14.537222,5.86,1.0,1,0,1,0,0,0,0,3300
28.81,1.0,2.0,5.0,53.4438433,14.5055732,4.32,9.0,0,0,1,0,0,1,0,2000
52.3,2.0,2.0,4.0,53.4290868,14.5409901,1.47,62.0,0,0,1,0,0,1,0,3000
30.0,2.0,2.0,10.0,53.4265537,14.5529795,0.64,62.0,0,1,1,0,0,-1,0,2700
53.4,4.0,4.0,4.0,53.44545,14.55238,2.52,15.0,0,0,1,0,0,-1,0,3400
45.61,2.0,1.0,4.0,53.4314173,14.5418533,1.55,74.0,0,0,1,0,0,2,0,2500
35.0,2.0,3.0,4.0,53.43284552,14.55236149,1.2,56.0,0,0,1,0,1,-1,0,2200
43.04,2.0,4.0,4.0,53.434,14.5518,1.33,56.0,1,1,0,0,0,0,0,3100
60.0,2.0,2.0,3.0,53.4345992091005,14.5714973539836,1.43,11.0,1,0,0,1,1,2,0,2500
40.0,2.0,2.0,3.0,53.4329,14.5518,1.22,59.0,1,0,0,0,1,2,0,1500
36.0,2.0,8.0,11.0,53.4348,14.5523,1.39,47.0,1,0,1,0,1,0,0,1600
70.0,2.0,3.0,4.0,53.4361838,14.5458561,1.74,41.0,0,0,1,0,0,2,0,2300
48.5,2.0,3.0,12.0,53.3761339,14.651302,7.97,12.0,0,1,1,0,1,0,0,1500
50.0,2.0,5.0,8.0,53.4423434,14.5621435,2.11,10.0,1,1,1,0,0,1,0,2600
63.31,3.0,1.0,5.0,53.4376498,14.573637,1.79,14.0,1,1,0,0,1,0,0,3200
50.5,2.0,1.0,1.0,53.43950585,14.513663,3.61,6.0,0,0,0,0,1,0,0,2600
40.0,2.0,3.0,2.0,53.4797653,14.5418161,6.39,2.0,0,0,0,0,0,0,0,2500
30.0,1.0,11.0,11.0,53.4456777,14.5424688,2.76,10.0,0,1,1,0,0,0,0,1800
38.26,2.0,3.0,4.0,53.418611,14.549722,0.92,11.0,0,1,1,0,0,1,0,2300
50.71,3.0,3.0,5.0,53.3949183,14.6373966,5.97,2.0,0,1,1,1,0,-1,0,3600
31.0,1.0,3.0,12.0,53.3791161,14.6535782,7.87,22.0,0,1,1,0,0,-1,0,1850
37.5,2.0,3.0,3.0,53.432222,14.555833,1.04,47.0,0,0,1,0,0,1,0,2300
53.0,2.0,3.0,2.0,53.4438433,14.5055732,4.32,9.0,0,0,0,0,0,-1,0,2200
26.5,1.0,4.0,4.0,53.43176094,14.55159545,1.12,67.0,0,0,1,0,0,2,0,1800
